,Return AMZN,Returns S&P
,-0.631479958,-0.816311812
,3.040341743,1.61771496
,-1.157733,-0.067105792
,-1.091528677,1.345526278
,1.540531206,0.090743973
,-1.409292382,-0.565899536
,0.322673371,-0.411342058
,3.820025289,-2.051772423
,0.618249362,-0.323920738
,-0.618249362,-0.647142756
,-0.540735352,-0.414086095
,-4.443948569,-2.588890874
,-0.825309425,0.500314596
,-4.12269687,-4.900165543
,0.603693763,-0.057508265
,-4.541648373,-6.895836943
,5.713833276,4.631744075
,-5.492082419,-4.515679657
,2.155550317,4.525059445
,1.966819234,0.524787511
,0.32078695,2.155072744
,-2.631010223,-0.978627479
,-0.889210941,0.094693824
,-7.089763888,-4.561859959
,-1.986514919,-1.512275603
,-0.779873257,0.025800788
,8.633999631,3.3710249
,0.092952393,1.303465136
,-0.881381184,-1.568793469
,3.70091045,1.500841802
,3.578496634,2.788750482
,2.103322972,0.234427511
,2.022830001,0.490990896
,-1.257703218,-1.194246104
,-1.202264229,-2.560701708
,2.900383089,-0.746407691
,1.706150867,2.824382506
,-1.207810028,-1.066889064
,-2.739000609,-2.706856257
,2.416287217,0.694156899
,1.362125681,0.907872568
,1.375279744,1.338976086
,1.873868981,1.704104618
,5.373762732,0.569047605
,0.993791407,-0.985094873
,-3.55450818,-0.166238645
,-0.59339915,-2.983099504
,-3.797423606,-3.24024566
,0.170085531,0.606358872
,2.752348088,2.306802089
,-2.484380446,1.06316656
,2.423453037,-2.09081956
,-3.216026296,0.808148573
,-2.831477382,-2.529127407
,-1.985072576,-2.886360338
,0.245007664,2.22393064
,3.241024415,1.770791884
,0.911548011,1.813816898
,1.447648811,-0.819681139
,2.885786282,3.355564416
,1.782390362,0.054385529
,0.563215623,0.974704699
,-0.279095247,-0.297810254
,4.374641522,1.723094891
,-1.791314428,-1.955993785
,0.637587968,2.021304977
,-5.19668711,-1.272981879
,0.894361209,0.454384001
,0.499583865,1.86340672
,1.198177716,1.279080636
,-4.502011256,-2.024834574
,-13.53254012,1.04814304
,4.137025671,3.371659131
,4.971553257,0.038915353
,-1.768730733,-2.504861662
,-0.66257567,-2.834006
,1.645968606,1.597636321
,1.2306846,1.860760721
,-0.832627597,-0.629981958
,0.23992076,0.627600849
,0.455185957,1.166731046
,-3.154896406,-3.73853468
,-0.203790505,0.858720062
,3.083062687,1.929322347
,0.705904118,-0.959603725
,-0.50370608,0.480559884
,-2.717582391,-1.675579881
,-3.587333756,-1.694267175
,-3.675165861,-0.039475693
,-4.084523885,-1.882457116
,1.619572617,-0.414943852
,-1.757048842,-2.234297046
,-3.549208532,-0.26891192
,6.242898053,2.882107914
,-3.01167484,0.221120649
,2.049033589,4.240343873
,2.485882218,-0.191046967
,-0.55957313,-0.024101557
,0.107072179,1.023446349
,-2.189511205,0.110513819
,1.719596165,0.201632073
,-2.509209385,-2.13684988
,1.329843088,1.674241225
,-1.83510311,-1.502638634
,-4.870843076,-0.872395364
,-0.166327383,-1.141325135
,0.580956067,0.32378531
,0,0.321098895
,-1.070474193,-1.180219797
,1.763208286,2.938929573
,-4.579497044,0.194760827
,2.648857644,0.823157693
,-0.982298606,0.899448074
,-0.571346479,0.007910509
,-1.359402348,-1.25565062
,-0.017252624,1.065017255
,-0.438088656,-0.430057078
,3.368388713,1.535548366
,-0.852646679,0.018790616
,0.056322372,0.293939285
,2.776259574,-0.2540185
,-2.242806866,0.225904391
,0.435875523,0.88465237
,-0.245646624,0.030954902
,-1.674080811,0.23338831
,1.405416141,-0.496020431
,1.799651982,0.354665767
,4.193553216,1.104668904
,2.610268292,0.492650177
,-1.826821311,0.066923588
,-2.56764259,0.047123183
,0.48782107,-0.102634414
,0.426896589,0.864169534
,2.896930044,-0.577050838
,1.054828782,-0.159414781
,-1.661888523,-0.252530887
,1.184735668,-0.045705144
,-8.017126159,0.886023775
,1.251466552,0.109454765
,3.227130121,1.449972569
,-2.448746539,-0.042396375
,0.571696217,0.202133769
,0.697919357,0.215788085
,-0.269934846,0.147302495
,0.3022765,-0.691012225
,3.208719673,0.677702341
,-0.15147591,-0.093996535
,-3.635603807,-0.539774789
,-2.491900659,1.096536614
,1.418232556,0.234617558
,-0.131596139,0.071966415
,-0.926030768,-0.334569759
,-0.940281774,0.426290336
,0.134074093,0.167084096
,-0.335517842,0.135364285
,2.909157752,0.335071357
,-2.261507118,-0.474824276
,0.194585448,0.613915646
,-0.41186122,-0.325103507
,0.533982805,-0.387720063
,0.459389777,-1.548950635
,1.469087431,0.687692207
,2.084023066,0.977004896
,-1.785181265,0.362467307
,-0.505838823,0.0160448
,0.652210049,1.796913284
,-1.270291612,-0.119697818
,1.183573811,0.594946621
,0.33561253,0.111877222
,0.253663946,0.396597148
,3.604994256,-0.30050284
,-0.31245456,-0.187294999
,0.348839558,-0.723263469
,1.36281228,0.310403597
,3.936072532,1.379030038
,1.258867507,-0.282074959
,-2.105339905,-0.495375906
,1.700510188,-0.160922411
,-1.031648971,0.369161404
,-2.226970414,0.747662587
,0.809640073,-0.399661169
,-2.880930282,-1.025492689
,0.205980811,-0.062924024
,-1.304841192,-1.142343808
,-2.581639544,-1.722902502
,0.528074308,0.742128971
,1.436670239,1.368531498
,-1.176326341,-1.255346675
,-1.583093787,-0.050372762
,1.545939482,1.536797916
,1.412561282,-0.406353329
,0.015699296,-0.595207569
,-0.587810024,0.116858237
,-0.920101143,-0.844311318
,1.104164723,0.367302016
,2.12613389,1.355234239
,0.804290593,0.665795209
,14.62253695,0.241141401
,2.201718583,-0.389106215
,-0.805304197,0.564243564
,0.091249872,-0.249980508
,-0.348054737,-0.76883516
,-2.408369744,-1.627899521
,0.520984804,0.035051924
,-0.561178155,-0.428785288
,-0.411743341,-0.672482779
,1.65013908,0.251424727
,0.435764939,-0.33930909
,-2.108331416,-1.117507305
,0.652781548,-0.576240872
,-0.147174071,-0.441354366
,-2.576878271,-1.51657978
,-2.087021876,-0.741520133
,1.972466454,1.590868399
,-1.282778286,0.048621906
,0.901509536,0.169227016
,-0.943313192,0.137908064
,-1.097811216,-0.216798114
,0.869896517,1.101805554
,-2.604045463,-1.443862957
,1.743545376,-0.227926088
,-2.227434214,-2.495129542
,3.004084023,0.010954847
,-0.635842974,0.571051437
,2.056468868,2.278777614
,0.531576724,-0.010647043
,-0.14636254,0.808142084
,-0.910391141,-1.270042346
,-0.036959254,1.15833899
,-0.783954855,-0.70480302
,-0.130480938,1.075659287
,1.802271044,1.028474547
,1.954665485,0.14437036
,0.613400473,0.976783429
,-0.451849552,-0.168778047
,-1.104633491,-2.251320771
,0.718272444,0.714898941
,-0.945215163,-1.608350252
,2.486213995,0.476136776
,0.00442967,0.894478191
,-1.928772149,-0.21120287
,3.131514138,2.461479365
,0.423887266,0.245629246
,0.091529699,0.621277174
,-1.081944463,-0.469804195
,-0.889167786,-0.94774184
,0,-0.164017634
,-2.497038055,-0.815912161
,-0.516138361,-0.001492404
,-1.38797978,-0.499957405
,1.39713996,1.636275885
,-1.095777094,-0.231699541
,0.425000882,0.738235559
,0.248622599,0.665827507
,3.922600547,0.271341564
,0.932979985,-1.011262084
,-1.003749594,-0.894897852
,-1.322812777,-0.908205024
,-2.722334062,-0.031391076
,1.354522157,1.640566295
,7.573649375,1.890081436
,-0.519639957,-0.048347653
